Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2022-05-03 23:45,38,16,22,0,0,0
2022-05-04 00:00,39,11,28,0,0,0
2022-05-04 00:15,44,9,35,0,0,0
2022-05-04 00:30,22,4,18,0,0,0
2022-05-04 00:45,24,2,22,0,0,0
2022-05-04 01:00,27,3,24,0,0,0
2022-05-04 01:15,22,3,19,0,0,0
2022-05-04 01:30,11,3,8,0,0,0
2022-05-04 01:45,14,6,8,0,0,0
2022-05-04 02:00,5,5,0,0,0,0
2022-05-04 02:15,6,3,3,0,0,0
2022-05-04 02:30,2,0,2,0,0,0
2022-05-04 02:45,7,0,7,0,0,0
2022-05-04 03:00,4,0,4,0,0,0
2022-05-04 03:15,0,0,0,0,0,0
2022-05-04 03:30,2,2,0,0,0,0
2022-05-04 03:45,0,0,0,0,0,0
2022-05-04 04:00,1,1,0,0,0,0
2022-05-04 04:15,3,2,1,0,0,0
2022-05-04 04:30,7,5,2,0,0,0
2022-05-04 04:45,8,7,1,0,0,0
2022-05-04 05:00,10,8,2,0,0,0
2022-05-04 05:15,13,11,2,0,0,0
2022-05-04 05:30,23,15,8,0,0,0
2022-05-04 05:45,15,13,2,0,0,0
2022-05-04 06:00,34,28,6,0,0,0
2022-05-04 06:15,43,31,12,0,0,0
2022-05-04 06:30,77,52,25,0,0,0
2022-05-04 06:45,83,52,31,0,0,0
2022-05-04 07:00,116,78,38,0,0,0
2022-05-04 07:15,250,199,51,0,0,0
2022-05-04 07:30,295,206,89,0,0,0
2022-05-04 07:45,445,250,195,0,0,0
2022-05-04 08:00,480,244,236,0,0,0
2022-05-04 08:15,342,197,145,0,0,0
2022-05-04 08:30,233,141,92,0,0,0
2022-05-04 08:45,290,182,108,0,0,0
2022-05-04 09:00,278,159,119,0,0,0
2022-05-04 09:15,176,104,72,0,0,0
2022-05-04 09:30,199,114,85,0,0,0
2022-05-04 09:45,403,217,186,0,0,0
2022-05-04 10:00,416,235,181,0,0,0
